time,load_power,wind_power,solar_power,DHI,DNI,GHI,DewPoint,SolarZenithAngle,WindSpeed,RelativeHumidity,Temperature
2018-01-01 00:00:00,0.931891577968163,0.320741843850257,0,0,0,0,-2.1,171.24,4.7,73.62,2.1
2018-01-01 00:01:00,0.931867706868484,0.32099763023845,0,0,0,0,-2.1,171.374,4.7,73.726,2.08
2018-01-01 00:02:00,0.931843835768806,0.321253416626643,0,0,0,0,-2.1,171.508,4.7,73.832,2.06
2018-01-01 00:03:00,0.931819964669128,0.321509203014836,0,0,0,0,-2.1,171.642,4.7,73.938,2.04
2018-01-01 00:04:00,0.931796093569449,0.321764989403029,0,0,0,0,-2.1,171.776,4.7,74.044,2.02
2018-01-01 00:05:00,0.931772222469771,0.322020775791222,0,0,0,0,-2.1,171.91,4.7,74.15,2
2018-01-01 00:06:00,0.931748351370092,0.319754243528933,0,0,0,0,-2.1,172.024,4.7,74.15,2
2018-01-01 00:07:00,0.931724480270414,0.317487711266644,0,0,0,0,-2.1,172.138,4.7,74.15,2
2018-01-01 00:08:00,0.931700609170735,0.315221179004355,0,0,0,0,-2.1,172.252,4.7,74.15,2
2018-01-01 00:09:00,0.931676738071057,0.312954646742066,0,0,0,0,-2.1,172.366,4.7,74.15,2
2018-01-01 00:10:00,0.931652866971378,0.310688114479777,0,0,0,0,-2.1,172.48,4.7,74.15,2
2018-01-01 00:11:00,0.9316289958717,0.311636434083279,0,0,0,0,-2.1,172.566,4.7,74.256,1.98
2018-01-01 00:12:00,0.931605124772021,0.312584753686781,0,0,0,0,-2.1,172.652,4.7,74.362,1.96
2018-01-01 00:13:00,0.931581253672343,0.313533073290282,0,0,0,0,-2.1,172.738,4.7,74.468,1.94
2018-01-01 00:14:00,0.931557382572664,0.314481392893784,0,0,0,0,-2.1,172.824,4.7,74.574,1.92
2018-01-01 00:15:00,0.931533511472986,0.315429712497285,0,0,0,0,-2.1,172.91,4.7,74.68,1.9
2018-01-01 00:16:00,0.931509640373307,0.31519786023539,0,0,0,0,-2.1,172.964,4.7,74.68,1.9
2018-01-01 00:17:00,0.931485769273629,0.314966007973496,0,0,0,0,-2.1,173.018,4.7,74.68,1.9
2018-01-01 00:18:00,0.931461898173951,0.314734155711601,0,0,0,0,-2.1,173.072,4.7,74.68,1.9
2018-01-01 00:19:00,0.931438027074272,0.314502303449707,0,0,0,0,-2.1,173.126,4.7,74.68,1.9
2018-01-01 00:20:00,0.931414155974594,0.314270451187812,0,0,0,0,-2.1,173.18,4.7,74.68,1.9
